Cucurbita moschata, chalcone synthase J-like, KO:K00660, EC:2.3.1.74, Cucurbita moschata, chalcone synthase 2 isoform X1, KO:K00660, EC:2.3.1.74, 
Cucurbita moschata, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Cucurbita moschata, chalcone--flavonone isomerase-like, KO:K01859, 
EC:5.5.1.6, Cucurbita moschata, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Cucurbita moschata, naringenin,2-oxoglutarate 3-dioxygenase-like, 
KO:K00475, EC:1.14.11.9, Cucurbita moschata, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Cucurbita moschata, 
flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, Cucurbita moschata, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, 
Cucurbita moschata, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Cucurbita moschata, trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Cucurbita moschata, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Cucurbita moschata, trans-cinnamate 4-monooxygenase-like, 
KO:K00487, EC:1.14.14.91, Cucurbita moschata, flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, Cucurbita moschata, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Cucurbita moschata, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Cucurbita moschata, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cucurbita moschata, spermidine hydroxycinnamoyl transferase-like, KO:K13065, 
EC:2.3.1.133, Cucurbita moschata, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cucurbita moschata, spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Cucurbita moschata, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cucurbita moschata, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Cucurbita moschata, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Cucurbita moschata, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Cucurbita moschata, deacetylvindoline O-acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Cucurbita moschata, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cucurbita moschata, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Cucurbita moschata, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Cucurbita moschata, 
flavonoid 3',5'-methyltransferase-like isoform X1, KO:K00588, EC:2.1.1.104, Cucurbita moschata, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, 
Cucurbita moschata, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Cucurbita moschata, caffeoyl-CoA O-methyltransferase-like, KO:K00588, 
EC:2.1.1.104, Cucurbita moschata, caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, 
