Elaeis guineensis, chalcone synthase 3-like, KO:K00660, EC:2.3.1.74, Elaeis guineensis, chalcone synthase 3-like isoform X1, KO:K00660, EC:2.3.1.74, 
Elaeis guineensis, chalcone synthase 3-like, KO:K00660, EC:2.3.1.74, Elaeis guineensis, chalcone synthase 3-like, KO:K00660, 
EC:2.3.1.74, Elaeis guineensis, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Elaeis guineensis, chalcone synthase 3-like, 
KO:K00660, EC:2.3.1.74, Elaeis guineensis, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Elaeis guineensis, 
chalcone synthase-like, KO:K00660, EC:2.3.1.74, Elaeis guineensis, chalcone synthase 4-like, KO:K00660, EC:2.3.1.74, 
Elaeis guineensis, chalcone synthase 1-like, KO:K00660, EC:2.3.1.74, Elaeis guineensis, chalcone synthase 2, KO:K00660, 
EC:2.3.1.74, Elaeis guineensis, chalcone synthase 3-like, KO:K00660, EC:2.3.1.74, Elaeis guineensis, chalcone--flavonone isomerase, 
KO:K01859, EC:5.5.1.6, Elaeis guineensis, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Elaeis guineensis, 
probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Elaeis guineensis, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, 
Elaeis guineensis, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Elaeis guineensis, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, 
EC:1.14.20.6, Elaeis guineensis, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Elaeis guineensis, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Elaeis guineensis, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Elaeis guineensis, 
trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Elaeis guineensis, cytochrome P450 CYP73A100, KO:K00487, EC:1.14.14.91, 
Elaeis guineensis, cytochrome P450 CYP73A100, KO:K00487, EC:1.14.14.91, Elaeis guineensis, flavonoid 3'-monooxygenase-like, KO:K05280, 
EC:1.14.14.82, Elaeis guineensis, flavonoid 3'-monooxygenase-like, KO:K05280, EC:1.14.14.82, Elaeis guineensis, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase, 
KO:K13082, EC:1.1.1.219 1.1.1.234, Elaeis guineensis, dihydroflavonol 4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, Elaeis guineensis, 
flavonoid 3',5'-hydroxylase 1, KO:K13083, EC:1.14.14.81, Elaeis guineensis, flavonoid 3',5'-hydroxylase 1-like, KO:K13083, EC:1.14.14.81, 
Elaeis guineensis, flavonoid 3',5'-hydroxylase 1-like, KO:K13083, EC:1.14.14.81, Elaeis guineensis, flavonoid 3',5'-hydroxylase-like, KO:K13083, 
EC:1.14.14.81, Elaeis guineensis, flavonoid 3',5'-hydroxylase-like, KO:K13083, EC:1.14.14.81, Elaeis guineensis, flavonoid 3',5'-hydroxylase 1-like, 
KO:K13083, EC:1.14.14.81, Elaeis guineensis, flavonoid 3',5'-hydroxylase 1-like, KO:K13083, EC:1.14.14.81, Elaeis guineensis, 
leucoanthocyanidin dioxygenase-like, KO:K05277, EC:1.14.20.4, Elaeis guineensis, leucoanthocyanidin dioxygenase-like, KO:K05277, EC:1.14.20.4, 
Elaeis guineensis, anthocyanidin reductase ((2S)-flavan-3-ol-forming), KO:K08695, EC:1.3.1.77, Elaeis guineensis, leucoanthocyanidin reductase, KO:K13081, 
EC:1.17.1.3, Elaeis guineensis, leucoanthocyanidin reductase isoform X1, KO:K13081, EC:1.17.1.3, Elaeis guineensis, UDP-glycosyltransferase 88F5-like, 
KO:K22845, EC:2.4.1.357, Elaeis guineensis, UDP-glycosyltransferase 88B1-like, KO:K22845, EC:2.4.1.357, Elaeis guineensis, 
UDP-glycosyltransferase 88F3-like, KO:K22845, EC:2.4.1.357, Elaeis guineensis, UDP-glycosyltransferase 88A1-like, KO:K22845, EC:2.4.1.357, 
Elaeis guineensis, UDP-glycosyltransferase 88F3-like, KO:K22845, EC:2.4.1.357, Elaeis guineensis, anthocyanidin 5,3-O-glucosyltransferase, KO:K22845, 
EC:2.4.1.357, Elaeis guineensis, salutaridinol 7-O-acetyltransferase, KO:K13065, EC:2.3.1.133, Elaeis guineensis, agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Elaeis guineensis, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Elaeis guineensis, 
putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Elaeis guineensis, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, 
Elaeis guineensis, hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Elaeis guineensis, agmatine coumaroyltransferase-2-like, KO:K13065, 
EC:2.3.1.133, Elaeis guineensis, tryptamine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Elaeis guineensis, agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Elaeis guineensis, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Elaeis guineensis, 
cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Elaeis guineensis, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, 
Elaeis guineensis, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Elaeis guineensis, flavonoid 3',5'-methyltransferase, KO:K00588, 
EC:2.1.1.104, Elaeis guineensis, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Elaeis guineensis, caffeoyl-CoA O-methyltransferase-like, 
KO:K00588, EC:2.1.1.104, Elaeis guineensis, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, 
