Populus trichocarpa, phenylalanine ammonia-lyase G2B, KO:K10775, EC:4.3.1.24, Populus trichocarpa, phenylalanine ammonia-lyase G4, KO:K10775, EC:4.3.1.24, 
Populus trichocarpa, phenylalanine ammonia-lyase G2B, KO:K10775, EC:4.3.1.24, Populus trichocarpa, phenylalanine ammonia-lyase, KO:K10775, 
EC:4.3.1.24, Populus trichocarpa, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Populus trichocarpa, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Populus trichocarpa, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Populus trichocarpa, 
cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Populus trichocarpa, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, 
Populus trichocarpa, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Populus trichocarpa, 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Populus trichocarpa, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Populus trichocarpa, 4-coumarate--CoA ligase 1, 
KO:K01904, EC:6.2.1.12, Populus trichocarpa, 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Populus trichocarpa, 
4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Populus trichocarpa, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, 
Populus trichocarpa, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Populus trichocarpa, 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Populus trichocarpa, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, Populus trichocarpa, acetyl-CoA-benzylalcohol acetyltransferase, 
KO:K13065, EC:2.3.1.133, Populus trichocarpa, vinorine synthase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, 
vinorine synthase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, shikimate O-hydroxycinnamoyltransferase-like isoform X1, KO:K13065, EC:2.3.1.133, 
Populus trichocarpa, acetyl-CoA-benzylalcohol acetyltransferase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, spermidine hydroxycinnamoyl transferase, KO:K13065, 
EC:2.3.1.133, Populus trichocarpa, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, shikimate O-hydroxycinnamoyltransferase, 
KO:K13065, EC:2.3.1.133, Populus trichocarpa, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, 
shikimate O-hydroxycinnamoyltransferase isoform X2, KO:K13065, EC:2.3.1.133, Populus trichocarpa, vinorine synthase, KO:K13065, EC:2.3.1.133, 
Populus trichocarpa, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, spermidine hydroxycinnamoyl transferase, KO:K13065, 
EC:2.3.1.133, Populus trichocarpa, vinorine synthase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, vinorine synthase, 
KO:K13065, EC:2.3.1.133, Populus trichocarpa, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, 
shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, acetyl-CoA-benzylalcohol acetyltransferase, KO:K13065, EC:2.3.1.133, 
Populus trichocarpa, vinorine synthase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Populus trichocarpa, salutaridinol 7-O-acetyltransferase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, vinorine synthase, 
KO:K13065, EC:2.3.1.133, Populus trichocarpa, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Populus trichocarpa, 
acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Populus trichocarpa, vinorine synthase, KO:K13065, EC:2.3.1.133, 
Populus trichocarpa, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Populus trichocarpa, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Populus trichocarpa, vinorine synthase, KO:K13065, EC:2.3.1.133, Populus trichocarpa, cytochrome P450 98A2, 
KO:K09754, EC:1.14.14.96, Populus trichocarpa, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Populus trichocarpa, 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Populus trichocarpa, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Populus trichocarpa, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Populus trichocarpa, caffeoylshikimate esterase, KO:K18368, 
EC:3.1.1.-, Populus trichocarpa, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Populus trichocarpa, caffeoylshikimate esterase, 
KO:K18368, EC:3.1.1.-, Populus trichocarpa, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Populus trichocarpa, 
caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Populus trichocarpa, caffeoyl-CoA O-methyltransferase 1, KO:K00588, EC:2.1.1.104, 
Populus trichocarpa, caffeoyl-CoA O-methyltransferase 2, KO:K00588, EC:2.1.1.104, Populus trichocarpa, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X2, KO:K00588, 
EC:2.1.1.104, Populus trichocarpa, caffeoyl-CoA O-methyltransferase isoform X1, KO:K00588, EC:2.1.1.104, Populus trichocarpa, caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Populus trichocarpa, cinnamoyl-CoA reductase 2 isoform X1, KO:K09753, EC:1.2.1.44, Populus trichocarpa, 
cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Populus trichocarpa, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, 
Populus trichocarpa, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Populus trichocarpa, cinnamoyl-CoA reductase 1 isoform X1, KO:K09753, 
EC:1.2.1.44, Populus trichocarpa, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Populus trichocarpa, cinnamoyl-CoA reductase 1, 
KO:K09753, EC:1.2.1.44, Populus trichocarpa, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Populus trichocarpa, 
cytochrome P450 84A1, KO:K09755, EC:1.14.-.-, Populus trichocarpa, cytochrome P450 84A1, KO:K09755, EC:1.14.-.-, 
Populus trichocarpa, cytochrome P450 84A1, KO:K09755, EC:1.14.-.-, Populus trichocarpa, caffeic acid 3-O-methyltransferase 3, KO:K13066, 
EC:2.1.1.68, Populus trichocarpa, caffeic acid 3-O-methyltransferase 1, KO:K13066, EC:2.1.1.68, Populus trichocarpa, caffeic acid 3-O-methyltransferase 1, 
KO:K13066, EC:2.1.1.68, Populus trichocarpa, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Populus trichocarpa, 
caffeic acid 3-O-methyltransferase 1, KO:K13066, EC:2.1.1.68, Populus trichocarpa, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, 
Populus trichocarpa, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Populus trichocarpa, caffeic acid 3-O-methyltransferase, KO:K13066, 
EC:2.1.1.68, Populus trichocarpa, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Populus trichocarpa, caffeic acid 3-O-methyltransferase, 
KO:K13066, EC:2.1.1.68, Populus trichocarpa, probable cinnamyl alcohol dehydrogenase 9, KO:K00083, EC:1.1.1.195, Populus trichocarpa, 
probable cinnamyl alcohol dehydrogenase, KO:K00083, EC:1.1.1.195, Populus trichocarpa, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, 
Populus trichocarpa, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Populus trichocarpa, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, 
EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, 
KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, 
berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, 
Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, 
EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, 
KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Populus trichocarpa, 
